,score,phase,subject,round,block1,block2,block3,dim1,dim2,dim3,dim4,X,dim1_choice_value,dim1_category,Y,dim2_choice_value,dim2_category,Z,dim3_choice_value,dim3_category,T,dim4_choice_value,dim4_category
0,72.0,P2-only,oct1801,1,"[2213, 1111, 1222]","[3123, 2321, 2132]","[3312, 3231, 1333]","(1, 1, 2, 2, 2, 3, 1, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 2, 1, 1, 3, 2, 3, 3)","(1, 1, 2, 2, 2, 3, 1, 3, 3)",144.815,55.556,222,223.33300000000003,34.074,111,135.555,46.296,222,144.815,55.556,222
1,61.0,P2-only,oct1801,2,"[3213, 1311, 1222]","[2323, 3332, 2231]","[2112, 3121, 1133]","(1, 1, 3, 2, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 3, 2, 3, 3, 1, 1, 1)","(1, 1, 2, 2, 3, 3, 1, 2, 3)",34.444,45.185,122,223.33300000000003,34.074,111,307.03700000000003,17.778,223,43.333,54.074,122
2,75.0,P2-only,oct1801,3,"[2213, 2131, 1221]","[1333, 3123, 1112]","[3232, 2322, 3311]","(1, 2, 2, 1, 1, 3, 2, 3, 3)","(1, 1, 3, 2, 3, 3, 1, 2, 2)","(1, 2, 2, 1, 1, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",135.555,46.296,222,132.963,43.704,222,135.555,46.296,222,223.33300000000003,34.074,111
3,39.0,P2-only,oct1801,4,"[2231, 2113, 1223]","[3121, 3333, 3212]","[1311, 1132, 2322]","(1, 2, 2, 3, 3, 3, 1, 1, 2)","(1, 3, 3, 1, 2, 3, 1, 2, 2)","(1, 2, 2, 1, 2, 3, 1, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",328.889,39.63,223,12.963000000000001,23.704,122,33.703,44.444,122,223.33300000000003,34.074,111
4,54.0,P2-only,oct1801,5,"[1113, 3311, 2212]","[3233, 2131, 1332]","[1221, 3122, 2323]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 3, 3, 3, 2, 2, 2)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111,454.815,65.556,333
5,57.0,P2-only,oct1801,6,"[3333, 2232, 1131]","[1312, 2113, 3211]","[1223, 3122, 2321]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(3, 3, 3, 1, 1, 1, 2, 2, 2)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111,394.815,5.556,333
6,54.0,P2-only,oct1801,7,"[1222, 3121, 2323]","[3233, 1331, 2132]","[3312, 1113, 2211]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 2, 3, 3, 3, 1, 1, 1)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111,415.92600000000004,26.667,333
7,74.0,P2-only,oct1801,8,"[1131, 2321, 3211]","[2233, 3123, 1313]","[2112, 1222, 3332]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 3, 3, 3, 2, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,454.815,65.556,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
8,38.0,P2-only,oct1801,9,"[3313, 1223, 2133]","[3121, 2211, 1331]","[1112, 2322, 3232]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(3, 3, 3, 1, 1, 1, 2, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,394.815,5.556,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
9,54.0,P2-only,oct1801,10,"[2233, 1221, 3212]","[2111, 3123, 1132]","[3331, 2322, 1313]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 2, 1, 1, 1, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,425.92600000000004,36.667,333,223.33300000000003,34.074,111
10,56.0,P2-only,oct1801,11,"[2321, 3313, 1332]","[3122, 1111, 2133]","[3231, 1223, 2212]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(3, 3, 3, 1, 1, 1, 2, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,394.815,5.556,333,223.33300000000003,34.074,111
11,56.0,P2-only,oct1801,12,"[2111, 3122, 1133]","[2232, 1221, 3213]","[3331, 1312, 2323]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111
12,20.0,P2-only,oct1801,13,"[3231, 3323, 3112]","[2311, 2222, 2133]","[1213, 1121, 1332]","(3, 3, 3, 2, 2, 2, 1, 1, 1)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",389.259,0.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111
13,89.0,P2-only,oct1801,14,"[1312, 1231, 1123]","[2333, 2222, 2111]","[3213, 3132, 3321]","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",459.259,70.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111
14,93.0,P2-only,oct1801,15,"[1322, 1131, 1213]","[3221, 2311, 2232]","[2123, 3112, 3333]","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",357.778,68.519,223,26.665999999999997,37.407,122,21.481,32.222,122,223.33300000000003,34.074,111
15,90.0,P2-only,oct1801,16,"[1322, 1231, 1113]","[3311, 2121, 2333]","[3223, 3132, 2212]","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",357.778,68.519,223,25.185000000000002,35.926,122,21.852000000000004,32.593,122,223.33300000000003,34.074,111
16,89.0,P2-only,oct1801,17,"[1212, 1323, 1131]","[2122, 2311, 2233]","[3113, 3332, 3221]","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",459.259,70.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111
17,84.0,P2-only,oct1801,18,"[1232, 1113, 1321]","[2211, 2122, 3223]","[3131, 2333, 3312]","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)",357.778,68.519,223,223.33300000000003,34.074,111,24.814999999999998,35.556,122,24.814999999999998,35.556,122
18,83.0,P2-only,oct1801,19,"[1323, 1132, 1211]","[2312, 3331, 2233]","[3222, 2121, 3113]","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 2, 3, 1, 3, 3, 1, 2, 2)",357.778,68.519,223,223.33300000000003,34.074,111,20.0,30.741,122,21.852000000000004,32.593,122
19,96.0,P2-only,oct1801,20,"[1233, 1321, 1112]","[2211, 3131, 2332]","[3313, 3222, 2123]","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)",357.778,68.519,223,26.665999999999997,37.407,122,223.33300000000003,34.074,111,21.852000000000004,32.593,122
20,91.0,P2-only,oct1801,21,"[1322, 1133, 1211]","[2121, 3331, 2313]","[2232, 3112, 3223]","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",357.778,68.519,223,25.185000000000002,35.926,122,21.852000000000004,32.593,122,223.33300000000003,34.074,111
21,90.0,P2-only,oct1801,22,"[1233, 1111, 1322]","[2331, 3221, 3132]","[3313, 2212, 2123]","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)",356.29600000000005,67.037,223,26.665999999999997,37.407,122,223.33300000000003,34.074,111,20.0,30.741,122
22,84.0,P2-only,oct1801,23,"[1133, 1321, 1212]","[2231, 3111, 3223]","[2313, 3332, 2122]","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",356.29600000000005,67.037,223,25.185000000000002,35.926,122,24.814999999999998,35.556,122,223.33300000000003,34.074,111
23,88.0,P2-only,oct1801,24,"[1111, 1323, 1232]","[2331, 2122, 2213]","[3312, 3221, 3133]","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",459.259,70.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111
24,100.0,P2-only,oct1801,25,"[2231, 1132, 1321]","[3111, 1213, 2312]","[2123, 3333, 3222]","(1, 1, 2, 1, 2, 3, 2, 3, 3)","(1, 1, 2, 1, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 3, 3, 1, 1, 1, 2, 2, 3)",46.666,57.407,122,46.666,57.407,122,223.33300000000003,34.074,111,305.185,15.926,223
25,33.0,P2-only,oct1803,1,"[2213, 3312, 2132]","[1111, 3231, 3123]","[1333, 1222, 2321]","(2, 2, 3, 1, 3, 3, 1, 1, 2)","(2, 2, 3, 1, 1, 3, 1, 2, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 3, 1, 2, 3, 2, 2, 3)",108.889,19.63,222,12.222000000000001,22.963,122,26.665999999999997,37.407,122,36.296,47.037,122
