,blocks,similarity,value,choices_category,X_coord
0,"(1, 1, 1, 2, 2, 2, 3, 3, 3)",0,70.0,333,459.259
1,"(1, 1, 1, 2, 2, 3, 2, 3, 3)",1,68.519,223,357.778
2,"(1, 1, 1, 2, 3, 3, 2, 2, 3)",4,67.037,223,356.29600000000005
3,"(1, 1, 1, 3, 3, 3, 2, 2, 2)",9,65.556,333,454.815
4,"(1, 1, 2, 1, 2, 2, 3, 3, 3)",1,58.889,223,348.148
5,"(1, 1, 2, 1, 2, 3, 2, 3, 3)",2,57.407,122,46.666
6,"(1, 1, 2, 1, 3, 3, 2, 2, 3)",5,55.926,222,145.185
7,"(1, 1, 2, 2, 2, 3, 1, 3, 3)",4,55.556,222,144.815
8,"(1, 1, 2, 2, 3, 3, 1, 2, 3)",6,54.074,122,43.333
9,"(1, 1, 2, 3, 3, 3, 1, 2, 2)",10,52.593,223,341.85200000000003
10,"(1, 1, 3, 1, 2, 2, 2, 3, 3)",4,48.519,222,137.778
11,"(1, 2, 2, 1, 1, 2, 3, 3, 3)",4,47.778,223,337.03700000000003
12,"(1, 1, 3, 1, 2, 3, 2, 2, 3)",6,47.037,122,36.296
13,"(1, 1, 3, 2, 2, 2, 1, 3, 3)",7,46.667,223,335.92600000000004
14,"(1, 2, 2, 1, 1, 3, 2, 3, 3)",5,46.296,222,135.555
15,"(1, 1, 3, 1, 3, 3, 2, 2, 2)",10,45.556,223,334.815
16,"(1, 1, 3, 2, 2, 3, 1, 2, 3)",8,45.185,122,34.444
17,"(1, 2, 2, 1, 2, 3, 1, 3, 3)",6,44.444,122,33.703
18,"(1, 1, 3, 2, 3, 3, 1, 2, 2)",11,43.704,222,132.963
19,"(1, 2, 2, 1, 3, 3, 1, 2, 3)",8,42.963,122,32.222
20,"(1, 2, 2, 2, 3, 3, 1, 1, 3)",10,41.111,222,130.37
21,"(1, 2, 2, 3, 3, 3, 1, 1, 2)",13,39.63,223,328.889
22,"(1, 2, 3, 1, 1, 2, 2, 3, 3)",6,37.407,122,26.665999999999997
23,"(2, 2, 2, 1, 1, 1, 3, 3, 3)",9,36.667,333,425.92600000000004
24,"(1, 2, 3, 1, 1, 3, 2, 2, 3)",8,35.926,122,25.185000000000002
25,"(1, 2, 3, 1, 2, 2, 1, 3, 3)",8,35.556,122,24.814999999999998
26,"(1, 2, 3, 1, 2, 3, 1, 2, 3)",9,34.074,111,223.33300000000003
27,"(2, 2, 2, 1, 1, 3, 1, 3, 3)",10,33.333,223,322.592
28,"(1, 2, 3, 1, 3, 3, 1, 2, 2)",12,32.593,122,21.852000000000004
29,"(1, 2, 3, 2, 2, 3, 1, 1, 3)",12,32.222,122,21.481
30,"(1, 2, 3, 2, 3, 3, 1, 1, 2)",14,30.741,122,20.0
31,"(2, 2, 2, 1, 3, 3, 1, 1, 3)",13,30.0,223,319.259
32,"(1, 3, 3, 1, 1, 2, 2, 2, 3)",10,27.037,222,116.29599999999999
33,"(2, 2, 2, 3, 3, 3, 1, 1, 1)",18,26.667,333,415.92600000000004
34,"(2, 2, 3, 1, 1, 1, 2, 3, 3)",10,26.296,223,315.555
35,"(1, 3, 3, 1, 1, 3, 2, 2, 2)",13,25.556,223,314.815
36,"(1, 3, 3, 1, 2, 2, 1, 2, 3)",12,25.185,122,14.443999999999999
37,"(2, 2, 3, 1, 1, 2, 1, 3, 3)",11,24.444,222,113.703
38,"(1, 3, 3, 1, 2, 3, 1, 2, 2)",14,23.704,122,12.963000000000001
39,"(1, 3, 3, 2, 2, 2, 1, 1, 3)",16,23.333,223,312.592
40,"(2, 2, 3, 1, 1, 3, 1, 2, 3)",12,22.963,122,12.222000000000001
41,"(1, 3, 3, 2, 2, 3, 1, 1, 2)",17,21.852,222,111.111
42,"(2, 2, 3, 1, 2, 3, 1, 1, 3)",14,21.111,122,10.370000000000001
43,"(2, 2, 3, 1, 3, 3, 1, 1, 2)",16,19.63,222,108.889
44,"(2, 2, 3, 2, 3, 3, 1, 1, 1)",19,17.778,223,307.03700000000003
45,"(2, 3, 3, 1, 1, 1, 2, 2, 3)",13,15.926,223,305.185
46,"(2, 3, 3, 1, 1, 2, 1, 2, 3)",14,14.074,122,3.333
47,"(2, 3, 3, 1, 1, 3, 1, 2, 2)",16,12.593,222,101.852
48,"(2, 3, 3, 1, 2, 2, 1, 1, 3)",17,12.222,222,101.481
49,"(2, 3, 3, 1, 2, 3, 1, 1, 2)",18,10.741,122,0.0
50,"(2, 3, 3, 2, 2, 3, 1, 1, 1)",22,8.889,223,298.148
51,"(3, 3, 3, 1, 1, 1, 2, 2, 2)",18,5.556,333,394.815
52,"(3, 3, 3, 1, 1, 2, 1, 2, 2)",19,3.704,223,292.963
53,"(3, 3, 3, 1, 2, 2, 1, 1, 2)",22,1.852,223,291.111
54,"(3, 3, 3, 2, 2, 2, 1, 1, 1)",27,0.0,333,389.259
