,blocks,similarity,value,choices_category,X_coord
0,"(1, 1, 1, 2, 2, 2, 3, 3, 3)",0,70.0,333,459.259
1,"(1, 1, 1, 2, 2, 3, 2, 3, 3)",1,68.70370370370371,223,357.778
2,"(1, 1, 1, 2, 3, 3, 2, 2, 3)",4,67.4074074074074,223,356.29600000000005
3,"(1, 1, 1, 3, 3, 3, 2, 2, 2)",9,66.11111111111111,333,454.815
4,"(1, 1, 2, 1, 2, 2, 3, 3, 3)",1,64.81481481481481,223,348.148
5,"(1, 1, 2, 1, 2, 3, 2, 3, 3)",2,63.51851851851852,122,46.666
6,"(1, 1, 2, 1, 3, 3, 2, 2, 3)",5,62.22222222222222,222,145.185
7,"(1, 1, 2, 2, 2, 3, 1, 3, 3)",4,60.925925925925924,222,144.815
8,"(1, 1, 2, 2, 3, 3, 1, 2, 3)",6,59.62962962962963,122,43.333
9,"(1, 1, 2, 3, 3, 3, 1, 2, 2)",10,58.333333333333336,223,341.85200000000003
10,"(1, 1, 3, 1, 2, 2, 2, 3, 3)",4,57.03703703703704,222,137.778
11,"(1, 2, 2, 1, 1, 2, 3, 3, 3)",4,55.74074074074074,223,337.03700000000003
12,"(1, 1, 3, 1, 2, 3, 2, 2, 3)",6,54.44444444444444,122,36.296
13,"(1, 1, 3, 2, 2, 2, 1, 3, 3)",7,53.14814814814815,223,335.92600000000004
14,"(1, 2, 2, 1, 1, 3, 2, 3, 3)",5,51.85185185185185,222,135.555
15,"(1, 1, 3, 1, 3, 3, 2, 2, 2)",10,50.55555555555556,223,334.815
16,"(1, 1, 3, 2, 2, 3, 1, 2, 3)",8,49.25925925925926,122,34.444
17,"(1, 2, 2, 1, 2, 3, 1, 3, 3)",6,47.96296296296296,122,33.703
18,"(1, 1, 3, 2, 3, 3, 1, 2, 2)",11,46.66666666666667,222,132.963
19,"(1, 2, 2, 1, 3, 3, 1, 2, 3)",8,45.37037037037037,122,32.222
20,"(1, 2, 2, 2, 3, 3, 1, 1, 3)",10,44.074074074074076,222,130.37
21,"(1, 2, 2, 3, 3, 3, 1, 1, 2)",13,42.77777777777778,223,328.889
22,"(1, 2, 3, 1, 1, 2, 2, 3, 3)",6,41.48148148148148,122,26.665999999999997
23,"(2, 2, 2, 1, 1, 1, 3, 3, 3)",9,40.18518518518519,333,425.92600000000004
24,"(1, 2, 3, 1, 1, 3, 2, 2, 3)",8,38.888888888888886,122,25.185000000000002
25,"(1, 2, 3, 1, 2, 2, 1, 3, 3)",8,37.592592592592595,122,24.814999999999998
26,"(1, 2, 3, 1, 2, 3, 1, 2, 3)",9,36.2962962962963,111,223.33300000000003
27,"(2, 2, 2, 1, 1, 3, 1, 3, 3)",10,35.0,223,322.592
28,"(1, 2, 3, 1, 3, 3, 1, 2, 2)",12,33.7037037037037,122,21.852000000000004
29,"(1, 2, 3, 2, 2, 3, 1, 1, 3)",12,32.407407407407405,122,21.481
30,"(1, 2, 3, 2, 3, 3, 1, 1, 2)",14,31.111111111111114,122,20.0
31,"(2, 2, 2, 1, 3, 3, 1, 1, 3)",13,29.814814814814817,223,319.259
32,"(1, 3, 3, 1, 1, 2, 2, 2, 3)",10,28.51851851851852,222,116.29599999999999
33,"(2, 2, 2, 3, 3, 3, 1, 1, 1)",18,27.22222222222222,333,415.92600000000004
34,"(2, 2, 3, 1, 1, 1, 2, 3, 3)",10,25.925925925925924,223,315.555
35,"(1, 3, 3, 1, 1, 3, 2, 2, 2)",13,24.629629629629633,223,314.815
36,"(1, 3, 3, 1, 2, 2, 1, 2, 3)",12,23.333333333333336,122,14.443999999999999
37,"(2, 2, 3, 1, 1, 2, 1, 3, 3)",11,22.037037037037038,222,113.703
38,"(1, 3, 3, 1, 2, 3, 1, 2, 2)",14,20.74074074074074,122,12.963000000000001
39,"(1, 3, 3, 2, 2, 2, 1, 1, 3)",16,19.444444444444443,223,312.592
40,"(2, 2, 3, 1, 1, 3, 1, 2, 3)",12,18.148148148148152,122,12.222000000000001
41,"(1, 3, 3, 2, 2, 3, 1, 1, 2)",17,16.851851851851855,222,111.111
42,"(2, 2, 3, 1, 2, 3, 1, 1, 3)",14,15.555555555555557,122,10.370000000000001
43,"(2, 2, 3, 1, 3, 3, 1, 1, 2)",16,14.25925925925926,222,108.889
44,"(2, 2, 3, 2, 3, 3, 1, 1, 1)",19,12.962962962962962,223,307.03700000000003
45,"(2, 3, 3, 1, 1, 1, 2, 2, 3)",13,11.666666666666664,223,305.185
46,"(2, 3, 3, 1, 1, 2, 1, 2, 3)",14,10.370370370370374,122,3.333
47,"(2, 3, 3, 1, 1, 3, 1, 2, 2)",16,9.074074074074076,222,101.852
48,"(2, 3, 3, 1, 2, 2, 1, 1, 3)",17,7.777777777777779,222,101.481
49,"(2, 3, 3, 1, 2, 3, 1, 1, 2)",18,6.481481481481481,122,0.0
50,"(2, 3, 3, 2, 2, 3, 1, 1, 1)",22,5.1851851851851904,223,298.148
51,"(3, 3, 3, 1, 1, 1, 2, 2, 2)",18,3.8888888888888857,333,394.815
52,"(3, 3, 3, 1, 1, 2, 1, 2, 2)",19,2.5925925925925952,223,292.963
53,"(3, 3, 3, 1, 2, 2, 1, 1, 2)",22,1.2962962962962905,223,291.111
54,"(3, 3, 3, 2, 2, 2, 1, 1, 1)",27,0.0,333,389.259
